
Access Granted:,30 F5 97 95 38 ,2015/01/28 17:29:29.878 EST
Access Denied:,1A 86 EA C0 ,2015/01/28 17:29:40.840 EST
Card Removed:,1A 86 EA C0 ,2015/01/28 17:30:07.099 EST
Access Denied:,1A 86 EA C0 ,2015/01/28 17:30:22.250 EST
Access Denied:,1A 86 EA C0 ,2015/01/28 17:30:26.810 EST
Access Denied:,1A 86 EA C0 ,2015/01/28 17:30:35.387 EST
Card Added:,1A 86 EA C0 ,2015/01/28 17:30:49.720 EST
Access Denied:,1A 86 EA C0 ,2015/01/28 17:30:57.747 EST
Access Denied:,1A 86 EA C0 ,2015/01/28 17:30:57.751 EST
Access Denied:,1A 86 EA C0 ,2015/01/28 17:31:56.211 EST
Access Denied:,1A 86 EA C0 ,2015/01/28 17:31:56.234 EST
Access Denied:,1A 86 EA C0 ,2015/01/28 17:32:06.711 EST
Access Denied:,1A 86 EA C0 ,2015/01/28 17:32:06.715 EST
Card Removed:,1A 86 EA C0 ,2015/01/28 17:32:15.891 EST
Access Denied:,1A 86 EA C0 ,2015/01/28 17:32:22.079 EST
Access Denied:,1A 86 EA C0 ,2015/01/28 17:32:22.084 EST
Card Added:,1A 86 EA C0 ,2015/01/28 17:32:33.694 EST
Access Denied:,1A 86 EA C0 ,2015/01/28 17:32:38.830 EST
Access Denied:,1A 86 EA C0 ,2015/01/28 17:32:38.834 EST
Card Added:,1A 86 EA C0 ,2015/01/29 15:33:09.405 EST
Access Denied:,1A 86 EA C0 ,2015/01/29 15:33:22.351 EST
Access Denied:,1A 86 EA C0 ,2015/01/29 15:33:22.354 EST
Access Denied:,1A 86 EA C0 ,2015/01/29 15:34:07.316 EST
Access Denied:,1A 86 EA C0 ,2015/01/29 15:34:07.340 EST
Card Added:,1A 86 EA C0 ,2015/01/29 15:34:26.823 EST
Access Denied:,1A 86 EA C0 ,2015/01/29 15:34:34.979 EST
Access Denied:,1A 86 EA C0 ,2015/01/29 15:34:34.982 EST
Card Added:,1A 86 EA C0 ,2015/01/29 15:39:56.630 EST
Card Added:,51 00 74 EF 79 ,2015/01/29 15:45:00.117 EST
Access Denied:,51 00 74 EF 79 ,2015/01/29 15:45:08.643 EST
Access Denied:,51 00 74 EF 79 ,2015/01/29 15:45:08.650 EST
Access Denied:,51 00 74 EF 79 ,2015/01/29 15:45:08.654 EST
Access Denied:,51 00 74 EF 79 ,2015/01/29 15:45:16.834 EST
Access Denied:,51 00 74 EF 79 ,2015/01/29 15:45:16.837 EST
Access Denied:,51 00 74 EF 79 ,2015/01/29 15:45:16.841 EST
Access Denied:,51 00 74 EF 79 ,2015/01/29 15:53:14.158 EST
Access Denied:,1A 86 EA C0 ,2015/01/29 15:53:40.477 EST
Access Granted:,51 00 74 EF 79 ,2015/01/29 16:01:37.391 EST
Access Granted:,51 00 74 EF 79 ,2015/01/29 16:02:54.175 EST
Access Denied:,Access Granted:,51 00 74 EF 79 ,2015/01/29 16:05:27.183 EST
Access Granted:,Access Granted:,51 00 74 EF 79 ,2015/01/29 16:07:41.702 EST
Access Granted:,51 00 74 EF 79 ,2015/01/29 16:07:41.726 EST
Access Denied:,51 00 74 EF 79 ,2015/01/29 16:07:41.729 EST
Access Granted:,51 00 74 EF 79 ,2015/01/29 16:22:03.215 EST
Access Granted:,51 00 74 EF 79 ,2015/01/29 16:22:03.241 EST
Access Denied:,51 00 74 EF 79 ,2015/01/29 16:22:03.244 EST
Access Granted:,51 00 74 EF 79 ,2015/01/29 16:25:56.846 EST
Access Granted:,51 00 74 EF 79 ,2015/01/29 16:25:56.869 EST
Access Denied:,51 00 74 EF 79 ,2015/01/29 16:25:56.873 EST
Access Denied:,51 00 74 EF 79 ,2015/01/29 16:27:00.559 EST
Access Denied:,51 00 74 EF 79 ,2015/01/29 16:27:00.582 EST
Access Granted:,51 00 74 EF 79 ,2015/01/29 16:27:00.586 EST
Access Denied:,51 00 74 EF 79 ,2015/01/29 16:28:55.580 EST
Access Denied:,51 00 74 EF 79 ,2015/01/29 16:28:55.603 EST
Access Granted:,51 00 74 EF 79 ,2015/01/29 16:28:55.606 EST
Access Denied:,51 00 74 EF 79 ,2015/01/29 16:50:08.779 EST
Access Granted:,51 00 74 EF 79 ,2015/01/29 16:52:36.639 EST
Access Granted:,1A 86 EA C0 ,2015/02/04 16:18:41.820 EST
Access Granted:,30 F5 97 95 38 ,2015/02/04 16:18:59.865 EST
Access Granted:,51 00 74 EF 79 ,2015/02/11 16:02:06.578 EST
Access Granted:,51 00 74 EF 79 ,2015/02/11 16:04:55.646 EST
Access Granted:,51 00 74 EF 79 ,2015/02/11 16:10:58.065 EST
